host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,days_as_host,host_response_time_hours,bathroom_type,amenities_count,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,bathroom_type_,bathroom_type_bath,bathroom_type_baths,bathroom_type_half-bath,bathroom_type_private bath,bathroom_type_shared bath,bathroom_type_shared baths
100,100,0,1.0,14.0,1,1,13.74052,100.55237,Entire home/apt,4,1.0,0,2,1049.0,2,1125,1,1,1,27,302,219,18,4,4.57,4.71,4.45,4.75,4.75,4.67,4.67,1,1,1,0,0,1.42,5066,1,bath,35,1,0,0,0,0,1,0,0,0,0,0
100,100,0,64.0,73.0,1,1,13.720785,100.547241,Entire home/apt,3,1.0,0,1,1205.0,1,1125,1,0,27,57,332,476,18,2,4.52,4.58,4.56,4.78,4.84,4.56,4.61,1,50,49,1,0,3.15,4818,1,bath,42,1,0,0,0,0,1,0,0,0,0,0
100,98,0,45.0,55.0,1,1,13.69673,100.53202,Entire home/apt,3,1.0,2,1,854.0,1,365,1,0,23,53,328,35,0,0,4.56,4.76,4.7,4.94,4.94,4.24,4.55,1,41,41,0,0,0.23,4789,1,bath,19,1,0,0,0,0,1,0,0,0,0,0
100,98,0,45.0,55.0,1,1,13.698,100.52886,Entire home/apt,2,1.0,1,1,750.0,1,1125,1,8,38,68,343,132,4,0,4.6,4.6,4.67,4.72,4.78,4.01,4.51,1,41,41,0,0,0.87,4789,1,bath,20,1,0,0,0,0,1,0,0,0,0,0
100,98,0,45.0,55.0,1,1,13.69925,100.52624,Entire home/apt,2,1.0,1,1,850.0,1,1125,1,0,20,50,325,57,5,2,4.67,4.75,4.8,4.91,4.88,4.24,4.64,1,41,41,0,0,0.38,4789,1,bath,21,1,0,0,0,0,1,0,0,0,0,0
100,98,0,45.0,55.0,1,1,13.70086,100.52276,Entire home/apt,3,1.5,1,1,1241.0,365,1125,1,30,60,90,365,8,0,0,5.0,5.0,5.0,4.88,5.0,4.25,4.88,0,41,41,0,0,0.05,4789,1,,9,1,0,0,0,0,0,0,0,0,0,0
100,98,0,45.0,55.0,1,1,13.70089,100.52388,Entire home/apt,2,1.0,1,0,850.0,180,730,1,24,54,84,175,13,0,0,4.55,4.42,4.54,4.46,4.77,3.85,4.46,0,41,41,0,0,0.09,4789,1,bath,9,1,0,0,0,0,1,0,0,0,0,0
100,100,0,64.0,73.0,1,1,13.720785,100.547241,Entire home/apt,2,1.0,0,1,1075.0,1,1125,1,0,16,46,321,123,11,4,4.67,4.82,4.71,4.85,4.88,4.7,4.72,1,50,49,1,0,1.01,4818,1,bath,36,1,0,0,0,0,1,0,0,0,0,0
100,99,1,25.0,54.0,1,1,13.71699,100.4783,Entire home/apt,2,1.5,1,1,1500.0,14,1125,1,0,0,0,31,6,2,0,4.83,5.0,4.83,5.0,5.0,4.33,4.83,0,22,22,0,0,0.25,4696,1,baths,40,1,0,0,0,0,0,1,0,0,0,0
100,90,1,6.0,7.0,1,1,13.69949,100.52725,Entire home/apt,2,1.5,0,2,1063.0,2,31,1,24,54,84,175,31,8,1,4.74,4.74,4.87,4.9,4.81,4.13,4.55,0,6,6,0,0,0.25,4431,1,baths,36,1,0,0,0,0,0,1,0,0,0,0
100,98,0,45.0,55.0,1,1,13.70218,100.52254,Entire home/apt,2,1.0,1,1,700.0,180,365,1,30,60,90,365,43,0,0,4.64,4.71,4.69,4.8,4.83,4.15,4.54,1,41,41,0,0,0.29,4789,1,bath,22,1,0,0,0,0,1,0,0,0,0,0
100,98,0,45.0,55.0,1,1,13.70039,100.52806,Entire home/apt,2,1.0,1,1,817.0,1,1125,1,22,52,82,357,54,8,1,4.63,4.7,4.7,4.69,4.78,4.19,4.63,1,41,41,0,0,0.44,4789,1,bath,21,1,0,0,0,0,1,0,0,0,0,0
100,100,0,64.0,73.0,1,1,13.720785,100.547241,Entire home/apt,3,1.0,0,1,1140.0,1,1125,1,0,24,54,329,458,17,0,4.47,4.57,4.51,4.77,4.78,4.56,4.54,1,50,49,1,0,3.05,4818,1,bath,46,1,0,0,0,0,1,0,0,0,0,0
100,100,0,64.0,73.0,1,1,13.720785,100.547241,Entire home/apt,2,1.0,0,1,1075.0,1,1125,1,6,36,66,341,243,10,1,4.58,4.69,4.6,4.78,4.79,4.61,4.66,1,50,49,1,0,1.66,4818,1,bath,36,1,0,0,0,0,1,0,0,0,0,0
100,100,0,8.0,14.0,1,1,13.67926,100.61655,Entire home/apt,2,1.0,1,1,891.0,29,1125,1,1,31,36,265,152,5,0,4.7,4.68,4.59,4.79,4.83,4.44,4.66,1,5,5,0,0,1.02,4842,1,bath,20,1,0,0,0,0,1,0,0,0,0,0
50,33,0,1.0,1.0,1,1,13.72687,100.52326,Entire home/apt,2,2.0,2,1,5806.0,30,1125,1,23,53,83,358,8,0,0,4.88,5.0,4.88,5.0,5.0,5.0,4.75,0,1,1,0,0,0.06,4401,24,baths,19,1,0,0,0,0,0,1,0,0,0,0
100,100,1,4.0,11.0,1,1,13.7736,100.54079,Entire home/apt,5,2.0,2,2,4357.0,1,365,1,20,50,80,355,500,211,19,4.84,4.85,4.81,4.94,4.92,4.66,4.84,0,4,4,0,0,4.21,4907,1,baths,40,1,0,0,0,0,0,1,0,0,0,0
